module,scope,algorithm,setting,metric,value,result_status
D6,partition and background sensitivity,maxnet,C: Block + Buffered BG | LQ | 0.5,cbi.val.avg,0.57525,reproduced_adapted
D6,partition and background sensitivity,maxnet,C: Block + Buffered BG | L | 1,cbi.val.avg,0.312,reproduced_adapted
D6,partition and background sensitivity,maxnet,C: Block + Buffered BG | LQ | 1,cbi.val.avg,0.57975,reproduced_adapted
D6,partition and background sensitivity,maxnet,C: Block + Buffered BG | L | 2,cbi.val.avg,0.26925,reproduced_adapted
D6,partition and background sensitivity,maxnet,C: Block + Buffered BG | LQ | 2,cbi.val.avg,0.64375,reproduced_adapted
D6,partition and background sensitivity,maxnet,C: Block + Buffered BG | L | 3,cbi.val.avg,0.26575,reproduced_adapted
D6,partition and background sensitivity,maxnet,C: Block + Buffered BG | LQ | 3,cbi.val.avg,0.59275,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | L | 0.5,or.10p.avg,0.102600170502984,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | LQ | 0.5,or.10p.avg,0.111594202898551,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | L | 1,or.10p.avg,0.105541346973572,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | LQ | 1,or.10p.avg,0.120375106564365,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | L | 2,or.10p.avg,0.10848252344416,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | LQ | 2,or.10p.avg,0.105669224211424,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | L | 3,or.10p.avg,0.10848252344416,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | LQ | 3,or.10p.avg,0.096845694799659,reproduced_adapted
D6,partition and background sensitivity,maxnet,B: Block + Global BG | L | 0.5,or.10p.avg,0.270417236662107,reproduced_adapted
D6,partition and background sensitivity,maxnet,B: Block + Global BG | LQ | 0.5,or.10p.avg,0.0675444596443229,reproduced_adapted
D6,partition and background sensitivity,maxnet,B: Block + Global BG | L | 1,or.10p.avg,0.267476060191519,reproduced_adapted
D6,partition and background sensitivity,maxnet,B: Block + Global BG | LQ | 1,or.10p.avg,0.138098495212038,reproduced_adapted
D6,partition and background sensitivity,maxnet,B: Block + Global BG | L | 2,or.10p.avg,0.261627906976744,reproduced_adapted
D6,partition and background sensitivity,maxnet,B: Block + Global BG | LQ | 2,or.10p.avg,0.173358413132695,reproduced_adapted
D6,partition and background sensitivity,maxnet,B: Block + Global BG | L | 3,or.10p.avg,0.244049247606019,reproduced_adapted
D6,partition and background sensitivity,maxnet,B: Block + Global BG | LQ | 3,or.10p.avg,0.18796169630643,reproduced_adapted
D6,partition and background sensitivity,maxnet,C: Block + Buffered BG | L | 0.5,or.10p.avg,0.220177838577291,reproduced_adapted
D6,partition and background sensitivity,maxnet,C: Block + Buffered BG | LQ | 0.5,or.10p.avg,0.143980848153215,reproduced_adapted
D6,partition and background sensitivity,maxnet,C: Block + Buffered BG | L | 1,or.10p.avg,0.211354309165527,reproduced_adapted
D6,partition and background sensitivity,maxnet,C: Block + Buffered BG | LQ | 1,or.10p.avg,0.155848153214774,reproduced_adapted
D6,partition and background sensitivity,maxnet,C: Block + Buffered BG | L | 2,or.10p.avg,0.208413132694938,reproduced_adapted
D6,partition and background sensitivity,maxnet,C: Block + Buffered BG | LQ | 2,or.10p.avg,0.19093707250342,reproduced_adapted
D6,partition and background sensitivity,maxnet,C: Block + Buffered BG | L | 3,or.10p.avg,0.208413132694938,reproduced_adapted
D6,partition and background sensitivity,maxnet,C: Block + Buffered BG | LQ | 3,or.10p.avg,0.223221614227086,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | L | 0.5,AICc,6624.24217467419,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | LQ | 0.5,AICc,6449.95084034203,reproduced_adapted
